,ZCTA5CE10,NAME,CBSAFP
206,02458,"Boston-Cambridge-Newton, MA-NH",14460
207,02459,"Boston-Cambridge-Newton, MA-NH",14460
208,02460,"Boston-Cambridge-Newton, MA-NH",14460
209,02461,"Boston-Cambridge-Newton, MA-NH",14460
210,02462,"Boston-Cambridge-Newton, MA-NH",14460
211,02464,"Boston-Cambridge-Newton, MA-NH",14460
212,02465,"Boston-Cambridge-Newton, MA-NH",14460
213,02466,"Boston-Cambridge-Newton, MA-NH",14460
214,02467,"Boston-Cambridge-Newton, MA-NH",14460
215,02468,"Boston-Cambridge-Newton, MA-NH",14460
216,02472,"Boston-Cambridge-Newton, MA-NH",14460
217,02474,"Boston-Cambridge-Newton, MA-NH",14460
218,02476,"Boston-Cambridge-Newton, MA-NH",14460
219,02478,"Boston-Cambridge-Newton, MA-NH",14460
220,02481,"Boston-Cambridge-Newton, MA-NH",14460
221,02482,"Boston-Cambridge-Newton, MA-NH",14460
222,02492,"Boston-Cambridge-Newton, MA-NH",14460
223,02493,"Boston-Cambridge-Newton, MA-NH",14460
224,02494,"Boston-Cambridge-Newton, MA-NH",14460
225,02532,"Barnstable Town, MA",12700
226,02532,"Boston-Cambridge-Newton, MA-NH",14460
227,02534,"Barnstable Town, MA",12700
228,02535,"Vineyard Haven, MA",47240
229,75098,"Dallas-Fort Worth-Arlington, TX",19100
230,75101,"Dallas-Fort Worth-Arlington, TX",19100
231,75102,"Corsicana, TX",18620
232,75103,"Dallas-Fort Worth-Arlington, TX",19100
233,75104,"Dallas-Fort Worth-Arlington, TX",19100
234,75105,"Corsicana, TX",18620
235,75105,"Athens, TX",11980
236,75105,"Dallas-Fort Worth-Arlington, TX",19100
237,75109,"Corsicana, TX",18620
238,75110,"Corsicana, TX",18620
239,75110,"Dallas-Fort Worth-Arlington, TX",19100
240,75114,"Dallas-Fort Worth-Arlington, TX",19100
241,75115,"Dallas-Fort Worth-Arlington, TX",19100
242,75116,"Dallas-Fort Worth-Arlington, TX",19100
243,75117,,
244,75119,"Corsicana, TX",18620
245,75119,"Athens, TX",11980
246,75119,"Dallas-Fort Worth-Arlington, TX",19100
247,75124,"Athens, TX",11980
248,75124,"Dallas-Fort Worth-Arlington, TX",19100
249,75125,"Dallas-Fort Worth-Arlington, TX",19100
250,75126,"Dallas-Fort Worth-Arlington, TX",19100
251,75127,,
252,75132,"Dallas-Fort Worth-Arlington, TX",19100
253,75134,"Dallas-Fort Worth-Arlington, TX",19100
254,75135,"Dallas-Fort Worth-Arlington, TX",19100
255,48472,,
256,48473,"Owosso, MI",37020
257,48473,"Flint, MI",22420
258,42025,"Murray, KY",34660
259,42025,"Mayfield, KY",32460
260,42025,"Clarksville, TN-KY",17300
261,48475,,
262,48476,"Owosso, MI",37020
263,48502,"Flint, MI",22420
264,42027,"Mayfield, KY",32460
265,42027,"Paducah, KY-IL",37140
266,42028,"Paducah, KY-IL",37140
267,42029,"Paducah, KY-IL",37140
268,48503,"Flint, MI",22420
269,42031,"Union City, TN-KY",46460
270,42032,,
271,42035,"Mayfield, KY",32460
272,42035,"Paducah, KY-IL",37140
273,42036,"Murray, KY",34660
274,42037,,
275,48504,"Flint, MI",22420
276,42038,"Clarksville, TN-KY",17300
277,42039,"Mayfield, KY",32460
278,42040,"Murray, KY",34660
279,42040,"Mayfield, KY",32460
280,42041,"Martin, TN",32280
281,42041,"Union City, TN-KY",46460
282,42041,"Mayfield, KY",32460
283,48505,"Flint, MI",22420
284,29324,"Spartanburg, SC",43900
285,29325,"Newberry, SC",35140
286,29325,"Greenville-Anderson-Mauldin, SC",24860
287,29325,"Spartanburg, SC",43900
288,27030,"Winston-Salem, NC",49180
289,27030,"Mount Airy, NC",34340
290,27040,"Winston-Salem, NC",49180
291,27041,"Winston-Salem, NC",49180
292,27041,"Mount Airy, NC",34340
293,27042,"Greensboro-High Point, NC",24660
294,27042,"Winston-Salem, NC",49180
295,27043,"Winston-Salem, NC",49180
296,27043,"Mount Airy, NC",34340
297,27045,"Winston-Salem, NC",49180
298,27046,"Greensboro-High Point, NC",24660
299,27046,"Winston-Salem, NC",49180
300,27047,"Winston-Salem, NC",49180
301,27047,"Mount Airy, NC",34340
302,27048,"Greensboro-High Point, NC",24660
303,27048,"Winston-Salem, NC",49180
304,27048,"Martinsville, VA",32300
305,27050,"Winston-Salem, NC",49180
306,27050,"Mount Airy, NC",34340
307,27051,"Winston-Salem, NC",49180
308,27052,"Greensboro-High Point, NC",24660
309,27052,"Winston-Salem, NC",49180
310,27053,"Winston-Salem, NC",49180
311,27053,"Mount Airy, NC",34340
312,27054,"Charlotte-Concord-Gastonia, NC-SC",16740
313,27054,"Winston-Salem, NC",49180
314,27055,"Charlotte-Concord-Gastonia, NC-SC",16740
315,27055,"Winston-Salem, NC",49180
316,27101,"Winston-Salem, NC",49180
317,27103,"Winston-Salem, NC",49180
318,27104,"Winston-Salem, NC",49180
